Amsterdam= Helsinki 0.6791923642158508, Vienna 0.6228755712509155, Las-Vegas 0.6143172383308411, Florence 0.6095810532569885, rio-de-janeiro 0.6037969589233398, Delhi 0.5768492221832275, Warsaw 0.5705986618995667, agia-napa 0.5459631681442261, Glasgow 0.5216631293296814, Dubai 0.5003716349601746
Iraq= Kosice 0.773349940776825, brisbane 0.7711520195007324, Tirana 0.667852520942688, Marmaris 0.6630536317825317, Vilnius 0.6605307459831238, Bratislava 0.6557494401931763, marrakesh 0.6536758542060852, Santorini-thira 0.6456953287124634, Dubai 0.6354974508285522, Bremen-city 0.6068120002746582
Colombia= Palermo 0.6538703441619873, Bogota 0.6229588389396667, Florence 0.5861647129058838, Vienna 0.5496015548706055, Cancun 0.532710611820221, Grenoble 0.5135270357131958, Tbilisi 0.5041848421096802, Atlanta 0.5020163059234619, Amsterdam 0.4968388080596924, Portland 0.46385306119918823
puerto-de-la-cruz= Antalya 0.6907552480697632, Astana 0.6628940105438232, Simferopol 0.6551229357719421, Minsk 0.6497552990913391, Zurich 0.6463499069213867, Bologna 0.6244736909866333, Izmir 0.6220564246177673, Katowice 0.5384770035743713, Karlovy-Vary 0.5008085370063782, Frankfurt-region 0.47470220923423767
kochi-cochin= kathmandu 0.7282166481018066, Zakynthos 0.6911690831184387, Mexico-City 0.6271469593048096, las-palmas-de-gran-canaria 0.5990080237388611, mumbai-bombay 0.5584797263145447, Bremen-city 0.5351489782333374, Tenerife 0.5327319502830505, Kalamata 0.5279086828231812, Acre 0.5183461308479309, Phoenix 0.5144243240356445
Pisa= Lima 0.7606523036956787, Ljubljana 0.7270990610122681, Odessa 0.7012554407119751, Hanoi 0.6902337074279785, Santorini-thira 0.6898452043533325, Liverpool 0.6397994756698608, Strasbourg 0.6132299900054932, Tel-Aviv 0.6068391799926758, Golan-Heights 0.5935732126235962, brisbane 0.5919784307479858
Golan-Heights= Kalamata 0.672534167766571, Strasbourg 0.6168386936187744, Nizhny-Novgorod 0.60721755027771, Genoa 0.6056079268455505, Pisa 0.593573272228241, Larnaka 0.5790811777114868, Mitzpe-Ramon 0.568917989730835, Turin 0.5547798275947571, Bergamo 0.5380942225456238, Dallas 0.5378215312957764
Kaliningrad= Bordeaux 0.5429850816726685, Dublin 0.46860843896865845, Mahe 0.39919841289520264, Denver 0.3751624822616577, Verona 0.3658512830734253, Las-Vegas 0.36178237199783325, Costa-Brava 0.34827208518981934, Nahariya 0.3443356156349182, Santiago 0.33592522144317627, Lyon 0.33076828718185425
Aosta= Lima 0.7171522378921509, agia-napa 0.7047098875045776, Omsk 0.6648528575897217, Ljubljana 0.642076849937439, Taormina 0.6172749996185303, lefkosia-south-nicosia 0.6156165599822998, Nairobi 0.609555721282959, Fort-Lauderdale 0.6060006022453308, Dead-Sea 0.6052960157394409, Cluj-Napoca 0.6010092496871948
Izmir= Frankfurt-region 0.7052315473556519, Zurich 0.6892353892326355, Antalya 0.6506772041320801, Male 0.6267389059066772, puerto-de-la-cruz 0.6220564246177673, Astana 0.6129690408706665, Tashkent 0.562127411365509, Bogota 0.5178347229957581, Katowice 0.5092867612838745, Sydney 0.5054084658622742
Salt-Lake-City= Palma-de-Mallorca 0.7360091209411621, Andorra-la-Vella 0.6215167045593262, Bratislava 0.5383749604225159, Bordeaux 0.5000305771827698, Tuscany 0.49876853823661804, Worcester 0.4955518841743469, Basel 0.47515347599983215, Boston 0.4658437967300415, Vilnius 0.4647987484931946, Marmaris 0.4637526273727417
Halifax= Acre 0.5956611037254333, Belgrade 0.5923340320587158, kathmandu 0.5577173829078674, Palermo 0.5453423857688904, Kosice 0.5432718396186829, Phoenix 0.5268380641937256, Salzburg 0.5250129699707031, quito 0.49653592705726624, Austin 0.4947952926158905, Eilat 0.4930045008659363
Liverpool= Omsk 0.7294926047325134, lefkosia-south-nicosia 0.7217329740524292, Winnipeg 0.7032452821731567, Chiang-Mai 0.6906175017356873, Hanoi 0.6774811148643494, Lima 0.6764277219772339, Odessa 0.6575627326965332, Khabarovsk 0.6539204716682434, Glasgow 0.6461519002914429, Pisa 0.6397994756698608
yangon-rangoon= Yerevan 0.8481912612915039, Phnom-Penh 0.8280701041221619, Addis-Ababa 0.8129947185516357, Kazan 0.7808902263641357, piestany 0.7234889268875122, Bishkek 0.7181469202041626, Moscow 0.7041431069374084, Podgorica 0.6742157936096191, Lisbon 0.6677151322364807, Shanghai 0.6598581075668335
Shenzhen= Guangzhou 0.8484625816345215, Kazan 0.8023455142974854, Bishkek 0.7878412008285522, Podgorica 0.7590171694755554, phuket-province 0.7406573295593262, Lisbon 0.7008271217346191, piestany 0.6502269506454468, Phnom-Penh 0.6316320896148682, Almaty 0.6214790344238281, yangon-rangoon 0.5636645555496216
Tirol= Black-Forest 0.6847988963127136, Guatemala-City 0.6685415506362915, Minneapolis 0.6662888526916504, Sochi 0.6118263006210327, San-Diego 0.6090981960296631, Protaras 0.5945154428482056, Niagara-Falls 0.5647947788238525, Lima 0.5540527105331421, honolulu-and-waikiki 0.5451717972755432, Stuttgart 0.5431816577911377
Sarajevo= Nairobi 0.6762858033180237, Cluj-Napoca 0.6649318337440491, Johannesburg 0.640533447265625, kathmandu 0.6157945394515991, west-Kilimanjaro 0.606897234916687, Ushuaia 0.6042554378509521, Winnipeg 0.6004838943481445, Reykjavk 0.5823062658309937, Jerusalem 0.5727676153182983, Omsk 0.5647530555725098
Cartagena= Ibiza 0.6271147727966309, Mitzpe-Ramon 0.5982570052146912, Male 0.570003867149353, Palermo 0.5457577109336853, Golan-Heights 0.4873895049095154, Bergamo 0.47156888246536255, Bogota 0.46270692348480225, Zurich 0.4625259339809418, Salzburg 0.4422985911369324, Herzliya 0.44069504737854004
